Date,Ducey (R),Garcia (D),MoE,Poll,Sample,Spread,Year
10/27 - 10/29,55,37,3.5,FOX News,643 LV,Ducey +18,2018
10/24 - 10/29,52,45,4.4,CNN,702 LV,Ducey +7,2018
10/23 - 10/27,55,42,5.4,NBC News/Marist,506 LV,Ducey +13,2018
10/23 - 10/26,52,41,4.1,CBS News/YouGov,972 LV,Ducey +11,2018
10/22 - 10/23,57,39,4.0,ABC 15/OH Predictive Insights,600 LV,Ducey +18,2018
10/3 - 10/3,54,37,4.0,OH Predictive Insights,600 LV,Ducey +17,2018
9/29 - 10/2,55,37,3.5,FOX News,716 LV,Ducey +18,2018
9/27 - 9/30,50,38,4.4,Suffolk*,500 LV,Ducey +12,2018
9/16 - 9/20,51,43,4.7,NBC News/Marist,564 LV,Ducey +8,2018
9/19 - 9/21,42,38,4.4,Emerson*,650 RV,Ducey +4,2018
9/11 - 9/15,49,46,4.3,CNN,761 LV,Ducey +3,2018
9/8 - 9/11,51,40,3.5,FOX News,710 LV,Ducey +11,2018
9/5 - 9/7,48,44,5.3,Gravis,882 LV,Ducey +4,2018
6/27 - 7/2,41,42,3.2,Gravis,925 LV,Garcia +1,2018
