Cox (R),Date,MoE,Newsom (D),Poll,Sample,Spread,Year
35,10/25 - 10/26,3.5,55,Gravis,743 LV,Newsom +20,2018
40,10/19 - 10/26,4.0,58,Berkeley IGS,1339 LV,Newsom +18,2018
41,10/18 - 10/20,3.5,54,KFI-NBC 4,1068 LV,Newsom +13,2018
32,10/17 - 10/19,4.1,52,Emerson*,671 LV,Newsom +20,2018
34,10/10 - 10/24,3.1,53,Stanford/YouGov,2178 RV,Newsom +19,2018
38,10/12 - 10/21,4.2,49,PPIC,989 LV,Newsom +11,2018
35,10/12 - 10/14,4.9,52,KABC/SurveyUSA,762 LV,Newsom +17,2018
43,10/12 - 10/14,3.5,51,KFI-NBC 4,1068 LV,Newsom +8,2018
42,10/5 - 10/7,3.5,54,KFI-NBC 4,1068 LV,Newsom +12,2018
31,9/17 - 10/14,4.0,54,LA Times/USC,LV,Newsom +23,2018
45,9/28 - 9/30,3.5,50,KFI-NBC 4,1068 LV,Newsom +5,2018
42,9/21 - 9/23,3.5,53,KFI-NBC 4,1068 LV,Newsom +11,2018
39,9/9 - 9/18,4.4,51,PPIC,964 LV,Newsom +12,2018
31,7/8 - 7/17,4.3,55,PPIC,1020 LV,Newsom +24,2018
29,6/26 - 6/27,5.9,58,SurveyUSA,559 LV,Newsom +29,2018
28,6/6 - 6/17,4.0,45,LA Times/USC,811 RV,Newsom +17,2018
