Baker (R),Date,Gonzalez (D),MoE,Poll,Sample,Spread,Year
68,10/25 - 10/28,25,4.4,WBUR/MassINC,502 LV,Baker +43,2018
65,10/10 - 10/27,27,5.0,Western NE University,402 LV,Baker +38,2018
65,10/24 - 10/28,26,4.4,Boston Globe/Suffolk,500 LV,Baker +39,2018
66,10/1 - 10/7,27,5.6,UMass Lowell,485 LV,Baker +39,2018
68,9/17 - 9/21,24,4.4,WBUR/MassINC,506 LV,Baker +44,2018
55,9/13 - 9/17,28,4.4,Boston Globe/Suffolk,500 LV,Baker +27,2018
52,6/8 - 6/12,22,4.4,Boston Globe/Suffolk,500 LV,Baker +30,2018
60,5/22 - 5/26,20,4.4,WBUR/MassINC,501 RV,Baker +40,2018
60,3/16 - 3/18,21,4.4,WBUR/MassINC,504 RV,Baker +39,2018
59,11/9 - 11/12,19,4.4,WBUR/MassINC,504 RV,Baker +40,2017
55,6/19 - 6/22,22,4.4,WBUR/MassINC,504 RV,Baker +33,2017
