Date,MoE,Poll,Sample,Schuette (R),Spread,Whitmer (D),Year
10/25 - 10/27,4.0,Detroit News/WDIV-TV*,600 LV,38,Whitmer +12,50,2018
10/25 - 10/25,5.0,Mitchell Research,400 LV,43,Whitmer +5,48,2018
10/24 - 10/26,3.6,Emerson,822 LV,41,Whitmer +11,52,2018
10/18 - 10/23,4.0,EPIC-MRA*,600 LV,41,Whitmer +5,46,2018
10/14 - 10/18,4.0,MRG,600 LV,36,Whitmer +14,50,2018
9/30 - 10/7,3.8,Mitchell Research,654 LV,38,Whitmer +8,46,2018
9/30 - 10/2,4.0,Detroit News/WDIV-TV,600 LV,35,Whitmer +12,47,2018
9/21 - 9/25,4.0,EPIC-MRA*,600 LV,37,Whitmer +8,45,2018
9/12 - 9/13,3.0,Mitchell Research,1009 LV,38,Whitmer +10,48,2018
9/10 - 9/14,3.0,Target-Insyght/MIRS,800 LV,41,Whitmer +9,50,2018
9/5 - 9/7,4.0,Detroit News/WDIV-TV,600 LV,36,Whitmer +14,50,2018
8/14 - 8/16,3.9,Gravis,647 LV,37,Whitmer +15,52,2018
7/19 - 7/21,4.3,Emerson,600 LV,36,Whitmer +7,43,2018
7/15 - 7/19,3.9,NBC News/Marist,886 RV,38,Whitmer +9,47,2018
6/24 - 6/26,3.0,Target-Insyght,800 LV,37,Whitmer +5,42,2018
4/30 - 5/3,4.0,EPIC-MRA,600 LV,38,Whitmer +5,43,2018
1/16 - 1/19,4.0,Detroit News/WDIV-TV,600 LV,33,Whitmer +7,40,2018
