Date,Laxalt (R),MoE,Poll,Sample,Sisolak (D),Spread,Year
10/29 - 11/1,47,1.9,Trafalgar Group (R),2587 LV,45,Laxalt +2,2018
10/24 - 10/26,44,3.5,Gravis,773 LV,46,Sisolak +2,2018
10/24 - 10/29,45,4.8,CNN*,622 LV,46,Sisolak +1,2018
10/10 - 10/12,46,4.2,Emerson*,625 LV,41,Laxalt +5,2018
10/8 - 10/10,46,4.0,NY Times/Siena,642 LV,45,Laxalt +1,2018
9/30 - 10/3,46,5.5,NBC News/Marist,574 LV,45,Laxalt +1,2018
9/25 - 9/29,41,4.6,CNN*,693 LV,45,Sisolak +4,2018
9/11 - 9/12,38,3.7,Gravis,700 LV,50,Sisolak +12,2018
9/5 - 9/10,35,4.4,Suffolk*,500 LV,37,Sisolak +2,2018
7/25 - 7/29,42,4.4,Suffolk*,500 LV,41,Laxalt +1,2018
6/23 - 6/26,43,3.9,Gravis,630 RV,41,Laxalt +2,2018
4/12 - 4/19,37,4.0,Nevada Independent/Mellman,600 LV,43,Sisolak +6,2018
