Date,MoE,Poll,Sample,Spread,Wagner (R),Wolf (D),Year
10/28 - 11/1,5.5,Morning Call,421 LV,Wolf +21,37,58,2018
10/22 - 10/28,9.5,Franklin & Marshall*,214 LV,Wolf +26,33,59,2018
9/12 - 9/13,3.5,Rasmussen Reports,800 LV,Wolf +12,40,52,2018
9/17 - 9/23,--,Franklin & Marshall*,204 LV,Wolf +22,30,52,2018
9/13 - 9/19,5.5,Morning Call*,404 LV,Wolf +19,36,55,2018
8/20 - 8/26,6.9,Franklin & Marshall*,222 LV,Wolf +17,35,52,2018
8/12 - 8/16,4.2,NBC News/Marist,713 RV,Wolf +14,40,54,2018
6/21 - 6/25,4.4,Suffolk,500 LV,Wolf +13,36,49,2018
6/4 - 6/10,6.5,Franklin & Marshall,472 RV,Wolf +19,29,48,2018
4/4 - 4/12,5.5,Morning Call,414 RV,Wolf +16,31,47,2018
3/19 - 3/26,8.2,Franklin & Marshall,137 RV,Wolf +17,21,38,2018
