Date,Democrats (D),Poll,Republicans (R),Sample,Spread,Year
10/29 - 11/1,52,ABC News/Wash Post,44,737 LV,Democrats +8,2018
10/28 - 10/30,47,Economist/YouGov,42,1296 RV,Democrats +5,2018
10/28 - 10/29,52,NPR/PBS/Marist,43,509 LV,Democrats +9,2018
10/26 - 10/28,47,Harvard-Harris,38,1835 RV,Democrats +9,2018
10/24 - 10/30,49,Reuters/Ipsos,42,1383 LV,Democrats +7,2018
10/21 - 10/25,47,Rasmussen Reports,44,2500 LV,Democrats +3,2018
10/18 - 10/22,51,USA Today/Suffolk,43,1000 LV,Democrats +8,2018
10/14 - 10/17,50,NBC News/Wall St. Jrnl,41,645 LV,Democrats +9,2018
10/13 - 10/16,49,FOX News,42,841 LV,Democrats +7,2018
10/21 - 10/23,47,Economist/YouGov,41,1233 RV,Democrats +6,2018
10/21 - 10/23,50,NPR/PBS/Marist,40,738 RV,Democrats +10,2018
10/17 - 10/23,49,Reuters/Ipsos,42,2062 LV,Democrats +7,2018
10/14 - 10/18,47,Rasmussen Reports,44,2500 LV,Democrats +3,2018
10/14 - 10/16,46,Economist/YouGov,41,1273 RV,Democrats +5,2018
10/10 - 10/16,51,Reuters/Ipsos,40,1194 LV,Democrats +11,2018
10/8 - 10/11,53,ABC News/Wash Post,42,991 RV,Democrats +11,2018
10/7 - 10/11,45,Rasmussen Reports,44,2500 LV,Democrats +1,2018
10/7 - 10/9,47,Economist/YouGov,41,1162 RV,Democrats +6,2018
10/3 - 10/9,50,Reuters/Ipsos,38,2012 LV,Democrats +12,2018
10/4 - 10/7,42,CNBC,36,800 A,Democrats +6,2018
10/4 - 10/7,54,CNN,41,739 LV,Democrats +13,2018
10/1 - 10/4,50,Emerson,42,1000 RV,Democrats +8,2018
9/30 - 10/4,45,Rasmussen Reports,45,2500 LV,Tie ,2018
9/30 - 10/2,45,Economist/YouGov,40,1227 RV,Democrats +5,2018
10/1 - 10/1,48,NPR/PBS/Marist,42,996 RV,Democrats +6,2018
9/27 - 10/3,45,IBD/TIPP,43,846 RV,Democrats +2,2018
9/26 - 10/2,50,Reuters/Ipsos,38,1840 LV,Democrats +12,2018
9/29 - 9/30,45,Harvard-Harris,37,1330 RV,Democrats +8,2018
9/27 - 9/30,49,Quinnipiac,42,1111 RV,Democrats +7,2018
9/23 - 9/27,47,Rasmussen Reports,42,2500 LV,Democrats +5,2018
9/26 - 9/27,45,Harvard-Harris,36,1228 RV,Democrats +9,2018
9/23 - 9/25,46,Economist/YouGov,38,1238 RV,Democrats +8,2018
9/22 - 9/24,48,NPR/PBS/Marist,41,802 RV,Democrats +7,2018
9/19 - 9/25,48,Reuters/Ipsos,41,1425 LV,Democrats +7,2018
9/18 - 9/24,52,Pew Research,42,1439 RV,Democrats +10,2018
9/17 - 9/23,51,Gallup,42,1308 RV,Democrats +9,2018
9/16 - 9/20,46,Rasmussen Reports,43,2500 LV,Democrats +3,2018
9/16 - 9/19,49,FOX News,42,818 LV,Democrats +7,2018
9/16 - 9/19,51,NBC News/Wall St. Jrnl,43,594 LV,Democrats +8,2018
9/16 - 9/18,45,Economist/YouGov,41,1195 RV,Democrats +4,2018
9/12 - 9/18,48,Reuters/Ipsos,41,1304 LV,Democrats +7,2018
9/9 - 9/13,47,Rasmussen Reports,42,2500 LV,Democrats +5,2018
9/9 - 9/11,44,Economist/YouGov,41,1220 RV,Democrats +3,2018
9/5 - 9/11,49,Reuters/Ipsos,41,1226 LV,Democrats +8,2018
9/6 - 9/9,52,Quinnipiac,38,1038 RV,Democrats +14,2018
9/6 - 9/9,52,CNN,42,775 LV,Democrats +10,2018
9/5 - 9/9,50,NPR/Marist,38,777 RV,Democrats +12,2018
9/2 - 9/6,46,Rasmussen Reports,42,2500 LV,Democrats +4,2018
9/2 - 9/4,45,Economist/YouGov,40,1254 RV,Democrats +5,2018
