Date,MoE,Nelson (D),Poll,Sample,Scott (R),Spread,Year
11/1 - 11/2,2.0,48,St. Pete Polls,2733 LV,49,Scott +1,2018
10/29 - 10/30,1.9,49,Trafalgar Group (R),2543 LV,47,Nelson +2,2018
10/24 - 10/29,4.3,49,CNN,781 LV,47,Nelson +2,2018
10/25 - 10/28,4.4,45,USA Today/Suffolk,500 LV,43,Nelson +2,2018
10/23 - 10/27,4.0,48,NY Times/Siena,737 LV,44,Nelson +4,2018
10/23 - 10/26,4.0,46,CBS News/YouGov,991 LV,46,Tie ,2018
10/23 - 10/26,3.0,47,UNF,1045 LV,46,Nelson +1,2018
10/30 - 10/31,2.0,49,St. Pete Polls,2470 LV,47,Nelson +2,2018
10/22 - 10/23,3.5,49,Gravis,773 LV,45,Nelson +4,2018
10/20 - 10/21,2.5,48,St. Pete Polls,1575 LV,49,Scott +1,2018
10/16 - 10/23,3.5,46,WCTV-TV,800 LV,45,Nelson +1,2018
10/18 - 10/21,3.6,41,Florida Atlantic University,740 LV,42,Scott +1,2018
10/18 - 10/21,5.0,49,Bay News 9/SurveyUSA,665 LV,41,Nelson +8,2018
10/17 - 10/21,3.5,52,Quinnipiac,1161 LV,46,Nelson +6,2018
10/16 - 10/20,4.2,50,CNN,759 LV,45,Nelson +5,2018
10/15 - 10/16,2.2,47,St. Pete Polls,1974 LV,49,Scott +2,2018
9/29 - 9/30,2.0,47,St. Pete Polls,2313 LV,47,Tie ,2018
9/17 - 9/30,3.5,45,WCTV-TV,800 LV,44,Nelson +1,2018
9/24 - 9/27,3.5,47,Mason-Dixon,815 LV,46,Nelson +1,2018
9/20 - 9/24,4.0,53,Quinnipiac,888 LV,46,Nelson +7,2018
9/17 - 9/19,4.0,45,UNF,603 LV,45,Tie ,2018
9/16 - 9/20,4.7,48,NBC News/Marist,600 LV,45,Nelson +3,2018
9/13 - 9/16,3.3,41,Florida Atlantic University,850 LV,42,Scott +1,2018
9/10 - 9/11,3.5,45,Rasmussen Reports,800 LV,44,Nelson +1,2018
9/7 - 9/9,5.3,44,SurveyUSA,634 LV,46,Scott +2,2018
8/30 - 9/3,4.3,49,Quinnipiac,785 LV,49,Tie ,2018
8/29 - 8/30,2.8,47,Gravis,1225 LV,47,Tie ,2018
8/29 - 8/30,2.3,47,St. Pete Polls,1755 LV,47,Tie ,2018
8/16 - 8/20,3.4,39,Florida Atlantic University,800 RV,45,Scott +6,2018
7/24 - 7/25,4.0,44,Mason-Dixon,625 LV,47,Scott +3,2018
7/20 - 7/21,3.4,40,Florida Atlantic University,800 RV,44,Scott +4,2018
7/13 - 7/14,2.3,47,Gravis,1840 LV,43,Nelson +4,2018
6/19 - 6/22,--,41,CBS News/YouGov,839 LV,46,Scott +5,2018
6/17 - 6/21,3.9,49,NBC News/Marist,947 RV,45,Nelson +4,2018
5/25 - 6/4,4.0,45,FL Chamber,605 LV,48,Scott +3,2018
5/4 - 5/7,3.0,40,Florida Atlantic University,1000 RV,44,Scott +4,2018
2/26 - 3/19,2.1,44,Gravis,2212 LV,40,Nelson +4,2018
2/23 - 2/26,3.6,46,Quinnipiac,1156 RV,42,Nelson +4,2018
2/1 - 2/18,2.2,44,Gravis,1978 RV,40,Nelson +4,2018
1/29 - 2/4,4.7,48,UNF,429 LV,42,Nelson +6,2018
1/30 - 2/1,4.0,45,Mason-Dixon,625 RV,44,Nelson +1,2018
10/17 - 10/19,4.0,44,Mason-Dixon,625 LV,44,Tie ,2017
10/11 - 10/17,3.4,37,UNF,706 LV,36,Nelson +1,2017
9/17 - 9/24,--,45,FL Chamber,615 LV,47,Scott +2,2017
8/24 - 8/26,4.0,42,Florida Atlantic University,800 LV,40,Nelson +2,2017
4/4 - 4/10,2.8,56,Gravis,1243 RV,28,Nelson +28,2017
