Date,Heller (R),MoE,Poll,Rosen (D),Sample,Spread,Year
10/29 - 11/1,49,1.9,Trafalgar Group (R),46,2587 LV,Heller +3,2018
10/24 - 10/29,45,4.8,CNN*,48,622 LV,Rosen +3,2018
10/24 - 10/26,45,3.5,Gravis,47,773 LV,Rosen +2,2018
10/10 - 10/12,48,4.2,Emerson*,41,625 LV,Heller +7,2018
10/8 - 10/10,47,4.0,NY Times/Siena,45,642 LV,Heller +2,2018
9/30 - 10/3,46,5.5,NBC News/Marist,44,574 LV,Heller +2,2018
9/25 - 9/29,43,4.6,CNN*,47,693 LV,Rosen +4,2018
9/11 - 9/12,45,3.7,Gravis,47,700 LV,Rosen +2,2018
9/5 - 9/10,41,4.4,Suffolk*,42,500 LV,Rosen +1,2018
7/25 - 7/29,41,4.4,Suffolk*,40,500 LV,Heller +1,2018
6/23 - 6/26,41,3.9,Gravis,45,630 RV,Rosen +4,2018
4/12 - 4/19,40,4.0,Nevada Independent/Mellman,39,600 LV,Heller +1,2018
