Date,Hugin (R),Menendez (D),MoE,Poll,Sample,Spread,Year
10/24 - 10/30,39,51,4.0,Stockton University*,598 LV,Menendez +12,2018
10/24 - 10/26,42,47,4.0,Emerson,659 LV,Menendez +5,2018
10/12 - 10/16,46,51,5.1,Rutgers-Eagleton,496 LV,Menendez +5,2018
10/10 - 10/16,44,51,4.3,Quinnipiac,873 LV,Menendez +7,2018
10/11 - 10/15,40,49,4.3,Monmouth,527 LV,Menendez +9,2018
10/2 - 10/5,39,49,--,CBS News/YouGov,845 LV,Menendez +10,2018
9/25 - 10/2,42,53,4.1,Quinnipiac,1058 LV,Menendez +11,2018
9/26 - 9/30,37,43,4.3,Fairleigh Dickinson,508 LV,Menendez +6,2018
9/19 - 9/27,43,45,4.3,Stockton University*,531 LV,Menendez +2,2018
8/15 - 8/20,37,43,4.6,Quinnipiac,908 RV,Menendez +6,2018
7/6 - 7/10,41,43,4.1,Gravis,563 LV,Menendez +2,2018
5/16 - 5/21,24,28,3.5,Fairleigh Dickinson,856 RV,Menendez +4,2018
4/6 - 4/10,32,53,3.9,Monmouth,632 RV,Menendez +21,2018
3/8 - 3/12,32,49,4.2,Quinnipiac,1052 RV,Menendez +17,2018
