Barletta (R),Casey (D),Date,MoE,Poll,Sample,Spread,Year
40,54,10/28 - 11/1,5.5,Morning Call,421 LV,Casey +14,2018
35,50,10/22 - 10/28,9.5,Franklin & Marshall*,214 LV,Casey +15,2018
38,52,9/12 - 9/13,3.5,Rasmussen Reports,800 LV,Casey +14,2018
33,50,9/17 - 9/23,--,Franklin & Marshall*,204 LV,Casey +17,2018
35,53,9/13 - 9/19,5.5,Morning Call*,404 LV,Casey +18,2018
34,47,8/20 - 8/26,6.9,Franklin & Marshall*,222 LV,Casey +13,2018
38,53,8/12 - 8/16,4.2,NBC News/Marist,713 RV,Casey +15,2018
32,47,6/21 - 6/25,4.4,Suffolk,500 LV,Casey +15,2018
27,44,6/4 - 6/10,6.5,Franklin & Marshall,472 RV,Casey +17,2018
32,48,4/4 - 4/12,5.5,Morning Call,414 RV,Casey +16,2018
25,43,3/19 - 3/26,6.8,Franklin & Marshall,423 RV,Casey +18,2018
