Cruz (R),Date,MoE,O'Rourke (D),Poll,Sample,Spread,Year
50,10/28 - 10/30,3.7,47,Emerson*,781 LV,Cruz +3,2018
52,10/25 - 10/26,4.0,42,CBS 11/Dixie Strategies,588 LV,Cruz +10,2018
51,10/22 - 10/28,3.5,46,Quinnipiac,1078 LV,Cruz +5,2018
51,10/15 - 10/21,3.2,45,UT/Texas Tribune*,927 LV,Cruz +6,2018
52,10/9 - 10/13,4.5,45,CNN,716 LV,Cruz +7,2018
51,10/8 - 10/11,3.6,43,NY Times/Siena,800 LV,Cruz +8,2018
54,10/3 - 10/9,4.4,45,Quinnipiac,730 LV,Cruz +9,2018
50,10/2 - 10/5,--,44,CBS News/YouGov,881 LV,Cruz +6,2018
47,10/1 - 10/5,4.5,42,Emerson*,500 LV,Cruz +5,2018
54,9/11 - 9/17,4.1,45,Quinnipiac,807 LV,Cruz +9,2018
46,9/6 - 9/7,4.3,42,CBS 11/Dixie Strategies,519 LV,Cruz +4,2018
39,8/22 - 8/25,4.4,38,Emerson,550 RV,Cruz +1,2018
49,8/12 - 8/16,3.8,45,NBC News/Marist,759 RV,Cruz +4,2018
49,7/26 - 7/31,3.5,43,Quinnipiac,1138 RV,Cruz +6,2018
41,7/9 - 7/26,4.7,39,Texas Lyceum*,441 LV,Cruz +2,2018
51,7/3 - 7/7,4.0,42,Gravis,602 LV,Cruz +9,2018
50,6/19 - 6/22,--,40,CBS News/YouGov,821 LV,Cruz +10,2018
41,6/8 - 6/17,2.8,36,UT/Texas Tribune*,1200 RV,Cruz +5,2018
50,5/23 - 5/29,3.8,39,Quinnipiac,961 RV,Cruz +11,2018
47,5/19 - 5/21,4.1,40,JMC Analytics,575 LV,Cruz +7,2018
47,4/12 - 4/17,3.6,44,Quinnipiac,1029 RV,Cruz +3,2018
