Date,Manchin (D),MoE,Morrisey (R),Poll,Sample,Spread,Year
10/28 - 10/31,47,3.2,42,Emerson*,1013 LV,Manchin +5,2018
10/19 - 10/30,45,4.9,40,MetroNews*,400 LV,Manchin +5,2018
10/12 - 10/19,52,3.8,36,WSAZ-TV*,650 LV,Manchin +16,2018
9/17 - 9/26,46,3.8,38,WSAZ-TV*,650 LV,Manchin +8,2018
9/13 - 9/15,45,3.5,33,Emerson,825 RV,Manchin +12,2018
8/16 - 8/26,46,4.9,38,MetroNews,404 LV,Manchin +8,2018
7/13 - 7/16,50,2.9,40,Trafalgar Group (R)*,1158 LV,Manchin +10,2018
6/14 - 6/19,50,5.3,43,Monmouth,527 LV,Manchin +7,2018
6/12 - 6/13,46,--,35,PPP (D)*,633 RV,Manchin +11,2018
5/22 - 5/22,53,4.2,40,Gravis,543 LV,Manchin +13,2018
5/10 - 5/10,44,4.9,46,WPAi (R),400 LV,Morrisey +2,2018
8/11 - 8/20,51,4.9,37,MetroNews,400 LV,Manchin +14,2018
